problem,mean,stddev,median
01-a,0.55,0.051,0.54
01-b,0.55,0.045,0.54
02-a,0.61,0.069,0.6
02-b,0.6,0.063,0.59
03-a,0.77,0.075,0.75
03-b,0.78,0.223,0.75
04-a,0.6,0.057,0.59
04-b,0.6,0.049,0.6
05-a,0.58,0.073,0.56
05-b,0.57,0.064,0.55
06-a,0.65,0.051,0.64
06-b,0.9,0.061,0.89
07-a,0.65,0.063,0.64
07-b,0.68,0.068,0.66
08-a,0.81,0.087,0.8
08-b,0.82,0.08,0.81
09-a,0.97,0.068,0.97
09-b,1.17,0.208,1.14
10-a,0.52,0.042,0.51
10-b,0.52,0.045,0.52
11-a,0.52,0.054,0.52
11-b,4.78,0.39,4.75
12-a,0.77,0.148,0.76
12-b,0.74,0.088,0.72
13-a,1.03,0.073,1.02
13-b,1.19,0.185,1.15
14-a,0.61,0.112,0.6
14-b,1.01,0.139,0.98
15-a,0.54,0.046,0.53
15-b,0.55,0.062,0.54
16-a,1.29,0.154,1.25
16-b,1.56,0.177,1.53
17-a,1.23,0.14,1.2
17-b,1.53,0.16,1.51
18-a,0.76,0.1,0.74
18-b,1.24,0.127,1.2
19-a,1.3,0.12,1.27
19-b,0.82,0.116,0.82
20-a,1.87,0.164,1.86
20-b,12.16,0.626,12.02
21-a,0.9,0.073,0.89
21-b,1.05,0.097,1.04
22-a,1.11,0.12,1.09
22-b,0.91,0.074,0.91
23-a,0.69,0.05,0.68
23-b,4.75,0.355,4.72
24-a,0.71,0.133,0.7
24-b,0.84,0.11,0.83
25-a,0.61,0.094,0.59
